Name,Price,Brand,Condition,Clusters
Audi A4 2.0TDi 2014,72500.0,Audi,Used,4
Mercedes Benz E300 Night Edition 2015,107500.0,Mercedes Benz,Used,4
Mercedes Benz C200 headup display 2015,109000.0,Mercedes Benz,Used,4
Toyota Axio X Grade 2007,31125.0,Toyota,Used,0
Micro Panda 12000KMs 2015,12475.0,Micro,Used,0
Nissan Sunny FB15 SUPER SLOON 2001,20250.0,Nissan,Used,0
Toyota Premio 2015,64875.0,Toyota,Used,4
Honda Vezel Z Orange Gold 2015,45375.0,Honda,Used,0
Suzuki Wagon R Stingray Premium 2019,33200.0,Suzuki,Used,0
Honda Vezel 2014,41750.0,Honda,Used,0
Nissan X-Trail 2006 New Body,35250.0,Nissan,Used,0
Toyota Corolla AE110 2000,18875.0,Toyota,Used,0
Toyota Yaris 2012,35475.0,Toyota,Used,0
Toyota Corolla 141 2007,30375.0,Toyota,Used,0
Suzuki Swift RS 2017,39250.0,Suzuki,Used,0
Toyota Aqua 2013 Beige Interior,30875.0,Toyota,Used,0
Toyota Prius 2010,30475.0,Toyota,Used,0
Mercedes Benz C200 2018 AMG Primum plus,136500.0,Mercedes Benz,Used,2
Suzuki Wagon R FX 2017,24250.0,Suzuki,Used,0
Toyota 4Runner Hilux V Grade 2018,125000.0,Toyota,Used,2
Toyota Aqua G Limited 2012,32500.0,Toyota,Used,0
Hyundai Matrix 2001,12375.0,Hyundai,Used,0
Honda Vezel 2014,42250.0,Honda,Used,0
Honda Vezel RU4 (4WD) 2014,39925.0,Honda,Used,0
Honda Vezel z grade 2014,40750.0,Honda,Used,0
Toyota Axio G Grade 2015,49900.0,Toyota,Used,0
Mercedes Benz E300 BLUETEC HYBRID 2015,122500.0,Mercedes Benz,Used,2
Toyota Prius Gs Sport 2014,42500.0,Toyota,Used,0
Toyota Axio G Grade 2015,49900.0,Toyota,Used,0
Suzuki Wagon R Stingray 2018,28250.0,Suzuki,Used,0
Toyota Aqua S Grade 2012,29500.0,Toyota,Used,0
Toyota Vitz 2016,33500.0,Toyota,Used,0
Suzuki Wagon R Safety Package 2017,27500.0,Suzuki,Used,0
Suzuki Celerio VXI 2015,19500.0,Suzuki,Used,0
Suzuki Wagon R Stingray 2017,27375.0,Suzuki,Used,0
Toyota Prius 2 generation 2008,26250.0,Toyota,Used,0
Toyota Hilux G 2018,90000.0,Toyota,Used,4
Suzuki Alto Japan 2007,16875.0,Suzuki,Used,0
Toyota Aqua G-Sport Body 2013,32250.0,Toyota,Used,0
Toyota Vitz U Grade 2006,23750.0,Toyota,Used,0
Mazda Familia GX 1986,2975.0,Mazda,Used,0
Daihatsu Mira Fully Loaded 2008,15875.0,Daihatsu,Used,0
Nissan Note E Unregistered 2019,41750.0,Nissan,Reconditioned,0
Land Rover Discovery 4 2015,176500.0,Land Rover,Used,2
Honda CRV EX - Masterpiece 2018,102000.0,Honda,Used,4
Suzuki Liana Sports 2006,19750.0,Suzuki,Used,0
Toyota Prius G touring 2013,47500.0,Toyota,Used,0
Mitsubishi Xpander 2018,76000.0,Mitsubishi,Used,4
Nissan Sunny FB 15 Super Saloon 2000,17500.0,Nissan,Used,0
Mitsubishi Eclipse Cross Highest spec 2018,82500.0,Mitsubishi,Used,4
Mitsubishi Mirage Vitz Swift GP5 A1 2015,32225.0,Mitsubishi,Used,0
Micro Actyon Jeep 2010,31500.0,Micro,Used,0
Hyundai Tucson SUV 2012,40250.0,Hyundai,Used,0
Daihatsu Rocky F75R 1988,23000.0,Daihatsu,Used,0
Toyota Allion 2006,38250.0,Toyota,Used,0
Toyota Land Cruiser Prado TXL 2020,287500.0,Toyota,New,1
Toyota Vitz 2017,41500.0,Toyota,Used,0
Honda Civic 5R Vtech 2017,68000.0,Honda,Used,4
Suzuki Wagon R Stingray 2018,30675.0,Suzuki,Used,0
Mitsubishi Outlander PHEV 2013,66000.0,Mitsubishi,Used,4
Datsun Redi Go 2016,12950.0,Datsun,Used,0
Honda Vezel Rs sensing 2017,57500.0,Honda,Used,4
Toyota Aqua X urban 2015,35750.0,Toyota,Used,0
Audi A3 Sline 17500KM 2019,97000.0,Audi,Used,4
Honda CRV VTEC TURBO 2WD 2018,107500.0,Honda,Used,4
Toyota Axio Wxb Anniversary 2017,57625.0,Toyota,Used,4
Toyota Land Cruiser Prado 120 TX 2008,78750.0,Toyota,Used,4
Toyota Corolla 141 2007,31450.0,Toyota,Used,0
Mercedes Benz E300 AmG line 2014,102500.0,Mercedes Benz,Used,4
Kia Sorento Diesel 2011,49500.0,Kia,Used,0
Toyota Harrier E Four 2008,48750.0,Toyota,Used,0
Suzuki Wagon R Stingray 2018,33750.0,Suzuki,Used,0
Honda Vezel 2014,39500.0,Honda,Used,0
Perodua Axia 2016,24250.0,Perodua,Used,0
Mercedes Benz E200 w 210 2001,29000.0,Mercedes Benz,Used,0
Honda CRV 2018,99000.0,Honda,Used,4
Honda Grace EX 2015,43500.0,Honda,Used,0
Toyota Axio WXB 2020,71975.0,Toyota,Used,4
Mercedes Benz C200 AMG Premium Plus 2019,149950.0,Mercedes Benz,Used,2
Suzuki Wagon R FZ 2014,23750.0,Suzuki,Used,0
Micro Rexton 270 XDI 2008,39975.0,Micro,Used,0
Toyota Land Cruiser Prado TZ 2005,92950.0,Toyota,Used,4
Suzuki Wagon R FZ 2014,23750.0,Suzuki,Used,0
Toyota Vitz Push Start 2015,34500.0,Toyota,Used,0
Toyota Premio G Superior 2015,63125.0,Toyota,Used,4
Nissan Bluebird eprise 2000,13000.0,Nissan,Used,0
Tata Indica 2015,10700.0,Tata,Used,0
Mitsubishi Montero 2004,42500.0,Mitsubishi,Used,0
Toyota Cami jeep 4Ã4 2000,18375.0,Toyota,Used,0
BMW X5 2015,155000.0,BMW,Used,2
Land Rover Range Autobiography SWB 2018,355000.0,Land Rover,Used,1
Audi Q2 2017,76000.0,Audi,Used,4
Mitsubishi L200 2007,46500.0,Mitsubishi,Used,0
Mercedes Benz CLA 200 White 2019,141500.0,Mercedes Benz,Used,2
Toyota Land Cruiser Prado Toyato 2008,83500.0,Toyota,Used,4
Toyota Aqua S grade 2012,30125.0,Toyota,Used,0
Nissan Sunny Wagon Type 1983,2400.0,Nissan,Used,0
Toyota Lexus Rx300 2001,34250.0,Toyota,Used,0
BMW X5 2017,185000.0,BMW,Used,2
Mitsubishi Lancer C11v 1985,3600.0,Mitsubishi,Used,0
Land Rover Range Sport 2019,337500.0,Land Rover,Used,1
Toyota Land Cruiser Prado TX 2020,287500.0,Toyota,New,1
Suzuki Spacia CUSTOM Z 2017,33500.0,Suzuki,Used,0
Toyota Premio Toyato 2016,71000.0,Toyota,Used,4
Suzuki Wagon R Stingray 2015,23125.0,Suzuki,Used,0
Toyota Vitz Safety Edition 2018,39375.0,Toyota,Used,0
Toyota Land Cruiser Prado TXL 6FWD 2015,194750.0,Toyota,Used,2
Mitsubishi Montero V6 Fully Loaded 2008,79950.0,Mitsubishi,Used,4
Toyota Axio 2016,52500.0,Toyota,Used,4
Toyota Land Cruiser Prado 2017,270500.0,Toyota,Used,1
Toyota Land Cruiser Prado TXL 6FWD 2015,194750.0,Toyota,Used,2
Mitsubishi Outlander PHEV Sunroof 2015,74000.0,Mitsubishi,Used,4
Toyota Wigo 2018,31250.0,Toyota,Used,0
Nissan Sunny 1975,3250.0,Nissan,Used,0
Toyota Vitz 2015,36000.0,Toyota,Used,0
Honda CRV Masterpiece BodyKit 2018,112500.0,Honda,Used,2
Audi A3 Sportback 2017,68000.0,Audi,Used,4
Suzuki Escudo Diesel 1997,18750.0,Suzuki,Used,0
Suzuki Alto K10 2016,17000.0,Suzuki,Used,0
Audi A4 2.0L TFSI S-TRONIC 2016,115000.0,Audi,Used,2
Honda Vezel 2017,62500.0,Honda,Used,4
Suzuki Wagon R Stingray 2018,30450.0,Suzuki,Used,0
Toyota CHR 2018,67500.0,Toyota,Used,4
Hyundai Matrix 2001,13125.0,Hyundai,Used,0
Suzuki Swift 2008,23750.0,Suzuki,Used,0
Honda Vezel Z Gray Orange 2013,37875.0,Honda,Used,0
Toyota Vitz 2016,32750.0,Toyota,Used,0
Micro Panda 1.3 2012,10925.0,Micro,Used,0
Toyota Aqua 2016,38750.0,Toyota,Used,0
Honda Fit GP5 2015,35500.0,Honda,Used,0
Nissan Sunny B15 2001,16400.0,Nissan,Used,0
Suzuki Wagon R FZ Safety Package 2017,26500.0,Suzuki,Used,0
Suzuki Alto LKI 2014,15300.0,Suzuki,Used,0
Toyota Rush 2019,78750.0,Toyota,Used,4
Jaguar X-Type Fully automatic 2002,28250.0,Jaguar,Used,0
Suzuki Alto Turbo 2016,29000.0,Suzuki,Reconditioned,0
Toyota Vitz GT 1300 2007,29000.0,Toyota,Used,0
Suzuki Alto LXI 2011,11450.0,Suzuki,Used,0
Suzuki Spacia 2017,24950.0,Suzuki,Used,0
Suzuki Wagon R Stingray J Style 2014,25975.0,Suzuki,Used,0
Nissan AD Wagon SUNNY 1986,2725.0,Nissan,Used,0
Honda Stream 2009,27375.0,Honda,Used,0
Honda Vezel Orange Package 2014,42500.0,Honda,Used,0
Mitsubishi Montero PAJERO 2007,74999.995,Mitsubishi,Reconditioned,4
Nissan Presea - 1999,15900.0,Nissan,Used,0
Honda Fit GP1 2013,31000.0,Honda,Used,0
DFSK Glory I AUTO Fully Loaded 2021,67925.0,DFSK,Used,4
Toyota Premio G Superior 2018,89750.0,Toyota,Used,4
Nissan Note Nismo Body kit 2014,39750.0,Nissan,Used,0
Micro Panda 2012,10350.0,Micro,Used,0
Honda Grace Ex 2014,45000.0,Honda,Used,0
Honda City VTEC 2001,16000.0,Honda,Used,0
BMW 523i 2010,77500.0,BMW,Used,4
Mitsubishi Montero 2007,98500.0,Mitsubishi,Used,4
Toyota CHR NGX10 GT Turbo 2019,82500.0,Toyota,Used,4
Chery QQ Sports 2007,5975.0,Chery,Used,0
Suzuki Wagon R J Style 2014,22750.0,Suzuki,Used,0
Datsun Redi Go 2017,13000.0,Datsun,Used,0
Toyota Aqua S Grade 2012,27000.0,Toyota,Used,0
Toyota Axio WXB 2017,63000.0,Toyota,Used,4
Honda Vezel X Sensing 2017,55450.0,Honda,Used,4
Toyota Aqua 2012,26250.0,Toyota,Used,0
Mitsubishi 4DR 4DR6 1992,28250.0,Mitsubishi,Used,0
Toyota Premio 2017,85000.0,Toyota,Used,4
Nissan Sunny N16 2000,15300.0,Nissan,Used,0
Mercedes Benz CLA 180 AMG Premium Plus 2019,137500.0,Mercedes Benz,Used,2
Perodua Viva Elite - 2011,15375.0,Perodua,Used,0
Toyota Land Cruiser Sahara 100 1999,85000.0,Toyota,Used,4
Hyundai Sonata 2011,39000.0,Hyundai,Used,0
Toyota Axio G Grade 2016,45750.0,Toyota,Used,0
Toyota Vitz Safety edition 2019,46000.0,Toyota,Used,0
Honda Vezel Z Grade 2014,40750.0,Honda,Used,0
Suzuki Hustler 2018,27875.0,Suzuki,Used,0
Kia Picanto 2016,23750.0,Kia,Used,0
Nissan Sunny HB3 10 1978,4250.0,Nissan,Used,0
Toyota Axio 2014,39500.0,Toyota,Used,0
Toyota Axio 2016,47500.0,Toyota,Used,0
Toyota Corolla kE72 1984,3600.0,Toyota,Used,0
Mitsubishi Lancer 1978,3750.0,Mitsubishi,Used,0
Toyota Corolla 2001,23750.0,Toyota,Used,0
Toyota Land Cruiser Prado GX 2007,85000.0,Toyota,Used,4
Suzuki Celerio 2017,25000.0,Suzuki,Used,0
Suzuki Celerio 2015,21500.0,Suzuki,Used,0
Mazda Familia BJ5P 2004,16750.0,Mazda,Used,0
Toyota Premio E FX 2019,92500.0,Toyota,Used,4
Volkswagen Polo GT 2016,36450.0,Volkswagen,Used,0
Toyota Land Cruiser Prado TX LIMITED 2017,230000.0,Toyota,Reconditioned,1
BMW X2 M SPORT 2019,127500.0,BMW,Used,2
Suzuki Swift Stingray 2014,23450.0,Suzuki,Used,0
